"","id","lon","lat","ele","date","sex","age","body","proc"
"114",66,738875.018057712,326569.76630474,232.146698,"2016-03-21","f","juvenil",11.73,0
"115",67,738821.366523407,326587.408375855,244.779205,"2016-03-21","m","juvenil",11.19,2.12
"116",68,738806.87130066,326593.415153587,246.599335,"2016-03-21","f","juvenil",9.45,0
"117",68,738803.677855547,326593.477533036,247.836273,"2016-04-02","f","juvenil",9.45,0
"118",68,738801.858509019,326586.220192819,241.775513,"2016-04-16","f","juvenil",9.45,0
"119",69,738799.114318546,326595.743425827,247.408127,"2016-03-21","m","juvenil",9.55,1
"120",69,738803.312430036,326588.244449143,245.732819,"2016-04-03","m","juvenil",9.55,1
"121",70,738797.696610134,326601.060461821,249.020874,"2016-03-21","m","juvenil",10.97,2.55
"122",70,738797.553258964,326600.724599554,247.736237,"2016-03-25","m","juvenil",10.97,2.55
"123",71,738794.903211649,326599.238168223,247.907242,"2016-03-21","m","juvenil",11.82,3.63
"124",71,738795.442605382,326602.805562837,251.282791,"2016-03-23","m","juvenil",11.82,3.63
"125",72,738788.813827837,326594.473666593,251.126404,"2016-03-21","f","juvenil",10.59,0
"126",72,738802.182514487,326599.01582717,249.232391,"2016-03-24","f","juvenil",10.59,0
"127",72,738800.597149532,326595.877327693,248.206482,"2016-03-29","f","juvenil",10.59,0
"128",73,738816.742972377,326583.889725438,246.832718,"2016-03-21","m","juvenil",12.35,3.84
"129",73,738822.611987687,326583.645836751,238.24884,"2016-03-31","m","juvenil",12.35,3.84
"130",74,738850.75599299,326428.030213752,218.328094,"2016-03-21","m","juvenil",14.01,4.22
"131",75,738904.035065002,326526.944676371,224.337494,"2016-03-21","f","juvenil",11.91,0
"132",76,738920.172375152,326530.083597034,221.304672,"2016-03-21","m","juvenil",12,3.36
"133",76,738918.100118294,326534.500793333,223.567108,"2016-03-25","m","juvenil",12,3.36
"134",76,738915.450070227,326533.014307393,228.276596,"2016-03-29","m","juvenil",12,3.36
"135",77,739024.886423536,326503.993596722,228.682373,"2016-03-21","f","juvenil",11.71,0
"136",78,738848.947278631,326429.782107862,217.672638,"2016-03-22","m","juvenil",10.27,0.96
"137",79,738864.233682994,326440.026133108,219.897827,"2016-03-22","m","juvenil",11.94,3.2
