"X","ID","sex","B.width","Tusk","days","Age","no.recaptures","tot.dist","max.dist","dist.a.day","rel.bodywidth"
309,1194,"f",10.48,0,9,"juvenil",2,4.35444641826381,3.0431192410129,0.48382737980709,-1.81017558021817
310,1196,"f",10.54,0,13,"juvenil",3,9.26473592174626,3.3449721425823,0.712671993980482,-1.7243619543669
311,1210,"f",12.35,0,9,"old",1,10.2422268855836,10.2422268855836,1.13802520950929,0.86434909214657
313,1216,"f",11.82,0,8,"juvenil",2,10.5582444896683,8.45943513498229,1.31978056120854,0.106328730460306
314,1221,"f",11.41,0,8,"juvenil",1,1.68274163487785,1.68274163487785,0.210342704359731,-0.480064379523408
316,1230,"f",11.81,0,7,"old",2,4.51662122478708,3.23839816158612,0.645231603541012,0.0920264594850938
317,1234,"f",12.13,0,10,"juvenil",1,1.46051863491019,1.46051863491019,0.146051863491019,0.549699130691896
319,1243,"f",11.54,0,8,"old",1,3.61458055129067,3.61458055129067,0.451822568911334,-0.294134856845647
322,1255,"f",12.12,0,4,"old",1,0.370957979304985,0.370957979304985,0.0927394948262462,0.535396859716681
323,1257,"f",11.74,0,18,"intermediate",1,13.3428033248077,13.3428033248077,0.741266851378206,-0.00808943734139439
324,1266,"f",12.87,0,25,"old",1,6.46157820733926,6.46157820733926,0.25846312829357,1.60806718285762
326,1271,"f",11.4,0,6,"juvenil",1,1.46051873102077,1.46051873102077,0.243419788503462,-0.494366650498621
330,1296,"f",12.8,0,2,"juvenil",1,2.36722504386067,2.36722504386067,1.18361252193034,1.50795128603114
332,1311,"f",12.15,0,10,"intermediate",2,8.89362191700466,5.29336639368886,0.889362191700466,0.57830367264232
334,1349,"f",11.71,0,4,"juvenil",1,3.35244634840152,3.35244634840152,0.83811158710038,-0.0509962502670311
335,1350,"f",11.05,0,0,"juvenil",1,0,0,NA,-0.994946134631059
337,1358,"f",12.26,0,1,"juvenil",1,4.11198862398566,4.11198862398566,4.11198862398566,0.735628653369657
340,1371,"f",12.18,0,3,"juvenil",1,3.98568748107641,3.98568748107641,1.32856249369214,0.621210485567957
341,1372,"f",12.14,0,3,"old",1,131.718516363362,131.718516363362,43.9061721211207,0.564001401667108
342,1377,"f",11.61,0,1,"intermediate",1,1.87561942209354,1.87561942209354,1.87561942209354,-0.194018960019159
343,1385,"f",12.22,0,20,"intermediate",1,1.72637763517568,1.72637763517568,0.086318881758784,0.678419569468808
344,1388,"f",11.11,0,2,"juvenil",1,10.8172358636039,10.8172358636039,5.40861793180195,-0.909132508779786
345,1396,"f",11.67,0,16,"juvenil",1,36.0739517191319,36.0739517191319,2.25462198244574,-0.108205334167883
346,1401,"f",11.42,0,16,"old",1,14.9105054987283,14.9105054987283,0.931906593670519,-0.465762108548196
347,1417,"f",12.05,0,12,"juvenil",1,1.61053137548777,1.61053137548777,0.134210947957314,0.435280962890195
348,1424,"f",12.09,0,3,"juvenil",1,3.70607671661037,3.70607671661037,1.23535890553679,0.492490046791044
349,1432,"f",12.25,0,3,"juvenil",1,1.06736558163678,1.06736558163678,0.35578852721226,0.721326382394445
350,1438,"f",12.14,0,19,"intermediate",2,248.499753735887,244.48893734126,13.0789344071519,0.564001401667108
351,1442,"f",10.84,0,12,"juvenil",1,2.570157196473,2.570157196473,0.21417976637275,-1.29529382511052
352,1443,"f",12.47,0,12,"juvenil",1,1.61919882528286,1.61919882528286,0.134933235440238,1.03597634384912
353,1447,"f",11.75,0,15,"juvenil",1,3.07572263417904,3.07572263417904,0.205048175611936,0.00621283363381785
354,1449,"f",11.65,0,14,"juvenil",1,4.32807708499212,4.32807708499212,0.309148363213723,-0.136809876118307
